City{name=Yumen, country=China, district=Gansu, population=109234}
City{name=Liling, country=China, district=Hunan, population=108504}
City{name=Yuncheng, country=China, district=Shanxi, population=108359}
City{name=Shanwei, country=China, district=Guangdong, population=107847}
City{name=Cixi, country=China, district=Zhejiang, population=107329}
City{name=Yuanjiang, country=China, district=Hunan, population=107004}
City{name=Bozhou, country=China, district=Anhui, population=106346}
City{name=Jinchang, country=China, district=Gansu, population=105287}
City{name=Fu´an, country=China, district=Fujian, population=105265}
City{name=Suqian, country=China, district=Jiangsu, population=105021}
City{name=Shishou, country=China, district=Hubei, population=104571}
City{name=Hengshui, country=China, district=Hebei, population=104269}
City{name=Danjiangkou, country=China, district=Hubei, population=103211}
City{name=Fujin, country=China, district=Heilongjiang, population=103104}
City{name=Sanya, country=China, district=Hainan, population=102820}
City{name=Guangshui, country=China, district=Hubei, population=102770}
City{name=Huangshan, country=China, district=Anhui, population=102628}
City{name=Xingcheng, country=China, district=Liaoning, population=102384}
City{name=Zhucheng, country=China, district=Shandong, population=102134}
City{name=Kunshan, country=China, district=Jiangsu, population=102052}
City{name=Haining, country=China, district=Zhejiang, population=100478}
City{name=Pingliang, country=China, district=Gansu, population=99265}
City{name=Fuqing, country=China, district=Fujian, population=99193}
City{name=Xinzhou, country=China, district=Shanxi, population=98667}
City{name=Jieyang, country=China, district=Guangdong, population=98531}
City{name=Zhangjiagang, country=China, district=Jiangsu, population=97994}
City{name=Tong Xian, country=China, district=Peking, population=97168}
City{name=Ya´an, country=China, district=Sichuan, population=95900}
City{name=Jinzhou, country=China, district=Liaoning, population=95761}
City{name=Emeishan, country=China, district=Sichuan, population=94000}
City{name=Enshi, country=China, district=Hubei, population=93056}
City{name=Bose, country=China, district=Guangxi, population=93009}
City{name=Yuzhou, country=China, district=Henan, population=92889}
City{name=Kaiyuan, country=China, district=Yunnan, population=91999}
City{name=Tumen, country=China, district=Jilin, population=91471}
City{name=Putian, country=China, district=Fujian, population=91030}
City{name=Linhai, country=China, district=Zhejiang, population=90870}
City{name=Xilin Hot, country=China, district=Inner Mongolia, population=90646}
City{name=Shaowu, country=China, district=Fujian, population=90286}
City{name=Junan, country=China, district=Shandong, population=90222}
City{name=Huaying, country=China, district=Sichuan, population=89400}
City{name=Pingyi, country=China, district=Shandong, population=89373}
City{name=Huangyan, country=China, district=Zhejiang, population=89288}
