City{name=Nouâdhibou, country=Mauritania, district=Dakhlet Nouâdhibou, population=97600}
City{name=Dese, country=Ethiopia, district=Amhara, population=97314}
City{name=Qalyub, country=Egypt, district=al-Qalyubiya, population=97200}
City{name=Rustenburg, country=South Africa, district=North West, population=97008}
City{name=Mekele, country=Ethiopia, district=Tigray, population=96938}
City{name=Moshi, country=Tanzania, district=Kilimanjaro, population=96800}
City{name=Ech-Chleff (el-Asnam), country=Algeria, district=Chlef, population=96794}
City{name=Nigel, country=South Africa, district=Gauteng, population=96734}
City{name=Settat, country=Morocco, district=Chaouia-Ouardigha, population=96200}
City{name=Bahir Dar, country=Ethiopia, district=Amhara, population=96140}
City{name=Jirja, country=Egypt, district=Sawhaj, population=95400}
City{name=Meru, country=Kenya, district=Eastern, population=94947}
City{name=Praia, country=Cape Verde, district=São Tiago, population=94800}
City{name=Idfu, country=Egypt, district=Qina, population=94200}
City{name=Maxixe, country=Mozambique, district=Inhambane, population=93985}
City{name=George, country=South Africa, district=Western Cape, population=93818}
City{name=Tabora, country=Tanzania, district=Tabora, population=92800}
City{name=Taza, country=Morocco, district=Taza-Al Hoceima-Taou, population=92700}
City{name=al-Hawamidiya, country=Egypt, district=Giza, population=91700}
City{name=Disuq, country=Egypt, district=Kafr al-Shaykh, population=91300}
City{name=Nyeri, country=Kenya, district=Central, population=91258}
City{name=El Araich, country=Morocco, district=Tanger-Tétouan, population=90400}
City{name=Hargeysa, country=Somalia, district=Woqooyi Galbeed, population=90000}
City{name=Kismaayo, country=Somalia, district=Jubbada Hoose, population=90000}
City{name=Ghardaïa, country=Algeria, district=Ghardaïa, population=89415}
City{name=al-Zawiya, country=Libyan Arab Jamahiriya, district=al-Zawiya, population=89338}
City{name=Ladysmith, country=South Africa, district=KwaZulu-Natal, population=89292}
City{name=Mbabane, country=Swaziland, district=Hhohho, population=61000}
City{name=São Tomé, country=Sao Tome and Principe, district=Aqua Grande, population=49541}
City{name=Banjul, country=Gambia, district=Banjul, population=42326}
City{name=Victoria, country=Seychelles, district=Mahé, population=41000}
City{name=Malabo, country=Equatorial Guinea, district=Bioko, population=40000}
City{name=Moroni, country=Comoros, district=Njazidja, population=36000}
City{name=Mamoutzou, country=Mayotte, district=Mamoutzou, population=12000}
City{name=Jamestown, country=Saint Helena, district=Saint Helena, population=1500}
