City{name=Jaffna, country=Sri Lanka, district=Northern, population=149000}
City{name=Khoy, country=Iran, district=West Azerbaidzan, population=148944}
City{name=Karimnagar, country=India, district=Andhra Pradesh, population=148583}
City{name=Bharatpur, country=India, district=Rajasthan, population=148519}
City{name=Sikar, country=India, district=Rajasthan, population=148272}
City{name=Hardwar (Haridwar), country=India, district=Uttaranchal, population=147305}
City{name=Dabgram, country=India, district=West Bengali, population=147217}
City{name=Morena, country=India, district=Madhya Pradesh, population=147124}
City{name=Noida, country=India, district=Uttar Pradesh, population=146514}
City{name=Circik, country=Uzbekistan, district=Toskent, population=146400}
City{name=Pokhara, country=Nepal, district=Western, population=146318}
City{name=Hapur, country=India, district=Uttar Pradesh, population=146262}
City{name=Lalitapur, country=Nepal, district=Central, population=145847}
City{name=Jhelum, country=Pakistan, district=Punjab, population=145800}
City{name=Bhusawal, country=India, district=Maharashtra, population=145143}
City{name=Khandwa, country=India, district=Madhya Pradesh, population=145133}
City{name=Malayer, country=Iran, district=Hamadan, population=144373}
City{name=Yamuna Nagar, country=India, district=Haryana, population=144346}
City{name=Sonipat (Sonepat), country=India, district=Haryana, population=143922}
City{name=Tenali, country=India, district=Andhra Pradesh, population=143726}
City{name=Bushehr, country=Iran, district=Bushehr, population=143641}
City{name=Aqtau, country=Kazakstan, district=Mangghystau, population=143400}
City{name=Qaemshahr, country=Iran, district=Mazandaran, population=143286}
City{name=Qarchak, country=Iran, district=Teheran, population=142690}
City{name=Atyrau, country=Kazakstan, district=Atyrau, population=142500}
City{name=Dashhowuz, country=Turkmenistan, district=Dashhowuz, population=141800}
City{name=Sadiqabad, country=Pakistan, district=Punjab, population=141500}
City{name=Margilon, country=Uzbekistan, district=Fargona, population=140800}
City{name=Raurkela Civil Township, country=India, district=Orissa, population=140408}
City{name=Kandy, country=Sri Lanka, district=Central, population=140000}
City{name=Kollam (Quilon), country=India, district=Kerala, population=139852}
City{name=Jessore, country=Bangladesh, district=Khulna, population=139710}
City{name=Kumbakonam, country=India, district=Tamil Nadu, population=139483}
City{name=Ingraj Bazar (English Bazar), country=India, district=West Bengali, population=139204}
City{name=Timkur, country=India, district=Karnataka, population=138903}
City{name=Ürgenc, country=Uzbekistan, district=Khorazm, population=138900}
City{name=Qods, country=Iran, district=Teheran, population=138278}
City{name=Jacobabad, country=Pakistan, district=Sind, population=137700}
City{name=Amroha, country=India, district=Uttar Pradesh, population=137061}
City{name=Serampore, country=India, district=West Bengali, population=137028}
City{name=Chapra, country=India, district=Bihar, population=136877}
City{name=Pali, country=India, district=Rajasthan, population=136842}
City{name=Maunath Bhanjan, country=India, district=Uttar Pradesh, population=136697}
City{name=Adoni, country=India, district=Andhra Pradesh, population=136182}
City{name=Jaunpur, country=India, district=Uttar Pradesh, population=136062}
City{name=Tirunelveli, country=India, district=Tamil Nadu, population=135825}
City{name=Bahraich, country=India, district=Uttar Pradesh, population=135400}
City{name=Comilla, country=Bangladesh, district=Chittagong, population=135313}
City{name=Sirjan, country=Iran, district=Kerman, population=135024}
City{name=Bojnurd, country=Iran, district=Khorasan, population=134835}
City{name=Gadag Betigeri, country=India, district=Karnataka, population=134051}
City{name=Proddatur, country=India, district=Andhra Pradesh, population=133914}
City{name=Chittoor, country=India, district=Andhra Pradesh, population=133462}
City{name=Shikarpur, country=Pakistan, district=Sind, population=133300}
City{name=Barrackpur, country=India, district=West Bengali, population=133265}
City{name=Bharuch (Broach), country=India, district=Gujarat, population=133102}
City{name=Khanewal, country=Pakistan, district=Punjab, population=133000}
City{name=Naihati, country=India, district=West Bengali, population=132701}
City{name=Maragheh, country=Iran, district=East Azerbaidzan, population=132318}
City{name=Shillong, country=India, district=Meghalaya, population=131719}
City{name=Sambalpur, country=India, district=Orissa, population=131138}
City{name=Nawabganj, country=Bangladesh, district=Rajshahi, population=130577}
City{name=Junagadh, country=India, district=Gujarat, population=130484}
City{name=Hafizabad, country=Pakistan, district=Punjab, population=130200}
City{name=Rae Bareli, country=India, district=Uttar Pradesh, population=129904}
City{name=Rewa, country=India, district=Madhya Pradesh, population=128981}
City{name=Gurgaon, country=India, district=Haryana, population=128608}
City{name=Angren, country=Uzbekistan, district=Toskent, population=128000}
City{name=Khammam, country=India, district=Andhra Pradesh, population=127992}
City{name=Dinajpur, country=Bangladesh, district=Rajshahi, population=127815}
City{name=Mazar-e-Sharif, country=Afghanistan, district=Balkh, population=127800}
City{name=Birjand, country=Iran, district=Khorasan, population=127608}
City{name=Bulandshahr, country=India, district=Uttar Pradesh, population=127201}
City{name=Ekibastuz, country=Kazakstan, district=Pavlodar, population=127200}
City{name=Ilam, country=Iran, district=Ilam, population=126346}
City{name=Navsari, country=India, district=Gujarat, population=126089}
City{name=Malkajgiri, country=India, district=Andhra Pradesh, population=126066}
City{name=Midnapore (Medinipur), country=India, district=West Bengali, population=125498}
City{name=Miraj, country=India, district=Maharashtra, population=125407}
City{name=Raj Nandgaon, country=India, district=Chhatisgarh, population=125371}
City{name=Kohat, country=Pakistan, district=Nothwest Border Prov, population=125300}
City{name=Alandur, country=India, district=Tamil Nadu, population=125244}
City{name=Puri, country=India, district=Orissa, population=125199}
City{name=Navadwip, country=India, district=West Bengali, population=125037}
City{name=Sirsa, country=India, district=Haryana, population=125000}
City{name=Cizah, country=Uzbekistan, district=Cizah, population=124800}
City{name=Korba, country=India, district=Chhatisgarh, population=124501}
City{name=Faizabad, country=India, district=Uttar Pradesh, population=124437}
City{name=Etawah, country=India, district=Uttar Pradesh, population=124072}
City{name=Pathankot, country=India, district=Punjab, population=123930}
City{name=Kökshetau, country=Kazakstan, district=North Kazakstan, population=123400}
City{name=Gandhinagar, country=India, district=Gujarat, population=123359}
City{name=Palghat (Palakkad), country=India, district=Kerala, population=123289}
